step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
1,0.02,stand,0.0,0.0,0.0,0.3984408676624298,3.7709251046180725e-05,-5.6734039389993995e-05,0.002905671950429678,0.05015268549323082,-0.024114621527438054,0.028892770741265058,0,0,0,0.0028144451789557934,-0.0007223764550872147,0.0028893672861158848,-0.0007873403956182301,0.0,0.06554727256298065,0.1772586852312088,0.17332947254180908,0.08027391135692596,0.0,0,0.33825060725212097,0.18265165388584137,-0.17470048367977142,0.08912112563848495,0.0,0,0.5358424782752991,-0.29132720828056335,0.17011891305446625,0.09503244608640671,0.0,0,1.2126740217208862,-0.29106900095939636,-0.16412651538848877,0.09553485363721848,0.0,0,1.3887122869491577
2,0.04,stand,0.0,0.0,0.0,0.39319005608558655,-0.0001179426908493042,5.7678807934280485e-06,0.013533796183764935,0.037330303341150284,-0.09200479589440061,0.10506138951386094,0,0,0,-0.012864899821579456,0.004202141426503658,-0.012219670228660107,0.003666994161903858,0.0,0.13484415411949158,0.19279927015304565,0.16622495651245117,0.06655397266149521,0.0,0,1.0008370876312256,0.19221583008766174,-0.18035602569580078,0.06533648818731308,0.0,0,0.7301270365715027,-0.3188832104206085,0.164991095662117,0.0794011652469635,0.0,0,1.2409614324569702,-0.31373193860054016,-0.15169256925582886,0.08091297000646591,0.0,0,1.1017239093780518
3,0.06,stand,0.0,0.0,0.0,0.3838188350200653,-0.0004216432571411133,6.979198224144056e-05,0.01655597798526287,0.008456628769636154,-0.47518623903727764,0.2330327943088917,0,0,0,-0.01582976244390011,0.004849640652537346,-0.01356371957808733,0.0002811817976180464,0.0,0.18890820443630219,0.20737846195697784,0.15800192952156067,0.046607568860054016,0.0,0,0.7288720607757568,0.20714536309242249,-0.18385732173919678,0.047006577253341675,0.0,0,0.6992598176002502,-0.33673539757728577,0.1569761335849762,0.06578190624713898,0.0,0,0.7192586660385132,-0.3301037549972534,-0.14640331268310547,0.06405625492334366,0.0,0,0.6758025884628296
4,0.08,stand,0.0,0.0,0.0,0.37048378586769104,-0.0007002316415309906,0.00012160709593445063,0.007559968624264002,0.0011093792272731662,-0.9614718556409434,0.35491327785996446,2,0,0,-0.006149102933704853,0.004397915676236153,-0.0014670768287032843,-0.008251234889030457,0.0,0.23641441762447357,0.2133743315935135,0.15045247972011566,0.022756777703762054,38.155277252197266,1,0.17974716424942017,0.21039146184921265,-0.1869000345468521,0.022744134068489075,84.8238525390625,1,0.09350325167179108,-0.346733033657074,0.14956893026828766,0.04496047645807266,0.0,0,0.3340914845466614,-0.3343929648399353,-0.1461833417415619,0.04712412506341934,0.0,0,0.09997417777776718
5,0.1,stand,0.0,0.0,0.0,0.355955570936203,-0.001475416123867035,0.0004945759428665042,0.050276562571525574,0.0002184757759096101,-1.139942991106084,-0.37481735623588075,3,0,0,-0.04363833740353584,0.024968542158603668,-0.048033054918050766,0.011522292159497738,0.0,0.20648814737796783,0.2086731344461441,0.14915919303894043,0.023260213434696198,87.8801498413086,1,0.054427605122327805,0.2056206464767456,-0.18807105720043182,0.02317401021718979,112.65123748779297,1,0.07469785213470459,-0.34343913197517395,0.1446717232465744,0.022119365632534027,152.9072723388672,1,0.5262890458106995,-0.332669734954834,-0.14891625940799713,0.02789384126663208,0.0,0,0.41631338000297546
6,0.12,stand,0.0,0.0,0.0,0.3432653248310089,-0.003057394176721573,0.0008324689115397632,0.09089364111423492,0.053715549409389496,-1.5135270179491014,-1.7781996230514459,4,0,0,-0.08940518647432327,0.016381897032260895,-0.10625354945659637,0.002315379213541746,0.0,0.15302494168281555,0.2017773687839508,0.14661595225334167,0.023323796689510345,99.58590698242188,1,0.046806253492832184,0.1984260082244873,-0.1904270052909851,0.023247741162776947,91.12430572509766,1,0.06428986042737961,-0.35127708315849304,0.14329202473163605,0.022284306585788727,58.979068756103516,1,0.04562516137957573,-0.33686867356300354,-0.15049512684345245,0.02243112027645111,46.86796188354492,1,0.03507719561457634
7,0.14,stand,0.0,0.0,0.0,0.33367055654525757,-0.005011444911360741,0.0012009148485958576,0.10021831095218658,0.016259189695119858,-1.6643403695873333,-2.5401409490253952,4,0,0,-0.09787192195653915,0.021559156477451324,-0.11588454246520996,0.010124883614480495,0.0,0.12445881962776184,0.19917340576648712,0.1454600989818573,0.023375511169433594,73.42298126220703,1,0.04214654862880707,0.19567668437957764,-0.19143962860107422,0.023300960659980774,73.29469299316406,1,0.05437425151467323,-0.3537525236606598,0.14261485636234283,0.022374227643013,61.33757400512695,1,0.035553861409425735,-0.3394414186477661,-0.15103721618652344,0.022516481578350067,66.69857025146484,1,0.03811560943722725
8,0.16,stand,0.0,0.0,0.0,0.326504647731781,-0.00692910049110651,0.0016451366245746613,0.09668813645839691,0.02833450585603714,-1.8677641070812347,-2.736846768583766,4,0,0,-0.0936511754989624,0.024042736738920212,-0.10851551592350006,0.014271903783082962,0.0,0.11278317123651505,0.19973675906658173,0.14399626851081848,0.023418277502059937,69.46458435058594,1,0.03568505495786667,0.1961544305086136,-0.19274601340293884,0.02334754168987274,64.69853210449219,1,0.04439321905374527,-0.3529813289642334,0.1414489597082138,0.02242836356163025,54.24987030029297,1,0.023531293496489525,-0.3387395441532135,-0.15210482478141785,0.022567786276340485,51.6563720703125,1,0.016599347814917564
9,0.18,stand,0.0,0.0,0.0,0.32082095742225647,-0.008717113174498081,0.0020539460238069296,0.0891670361161232,0.03438772261142731,-2.1847429411777712,-2.7771079589766408,4,0,0,-0.08674120903015137,0.020657284185290337,-0.09911292046308517,0.01130089070647955,0.0,0.11027653515338898,0.20109233260154724,0.14193621277809143,0.023453205823898315,65.02705383300781,1,0.0299125574529171,0.19738814234733582,-0.194621279835701,0.023386552929878235,58.41752243041992,1,0.03510785475373268,-0.35144731402397156,0.13975690305233002,0.022465020418167114,47.663909912109375,1,0.013390838168561459,-0.337322860956192,-0.15371355414390564,0.022606752812862396,40.11208724975586,1,0.01733427308499813
10,0.2,stand,0.0,0.0,0.0,0.31601762771606445,-0.010363257490098476,0.002379037905484438,0.08115329593420029,0.029033495113253593,-2.5089867486736743,-2.820879012829256,4,0,0,-0.07953642308712006,0.016118785366415977,-0.09034062176942825,0.006888378411531448,0.0,0.11329803615808487,0.20233188569545746,0.13993853330612183,0.023481935262680054,59.5926628112793,1,0.025887025520205498,0.1985120177268982,-0.1964261382818222,0.023417651653289795,54.75962829589844,1,0.02924332022666931,-0.350056916475296,0.13813890516757965,0.022495664656162262,45.58407211303711,1,0.007928877137601376,-0.33603039383888245,-0.15525506436824799,0.02263496071100235,34.22529602050781,1,0.005186701193451881
11,0.22,stand,0.0,0.0,0.0,0.3118678629398346,-0.01185536291450262,0.002622270258143544,0.07246346026659012,0.0250879917293787,-2.7830967542182727,-2.8727636910856114,4,0,0,-0.07145887613296509,0.012024207971990108,-0.0809670090675354,0.0031863346230238676,0.0,0.11923312395811081,0.2034064382314682,0.13830572366714478,0.023507654666900635,56.43142318725586,1,0.030839385464787483,0.19948098063468933,-0.19788770377635956,0.023442775011062622,53.763736724853516,1,0.020835062488913536,-0.34884437918663025,0.13684877753257751,0.022523701190948486,46.375431060791016,1,0.013271172530949116,-0.33491256833076477,-0.15647070109844208,0.022661112248897552,33.898677825927734,1,0.006357405800372362
12,0.24,stand,0.0,0.0,0.0,0.3083295226097107,-0.01318180002272129,0.002790072001516819,0.06358680874109268,0.025229690596461296,-2.989156731288387,-2.9195253005776345,4,0,0,-0.06307084858417511,0.008083922788500786,-0.07123678922653198,8.826627890812233e-05,0.0,0.1261344850063324,0.204371839761734,0.13712789118289948,0.023526079952716827,55.333946228027344,1,0.019758811220526695,0.20034615695476532,-0.19891805946826935,0.023464418947696686,52.9916877746582,1,0.0231012050062418,-0.34773916006088257,0.13596263527870178,0.022542133927345276,44.81241226196289,1,0.007235094904899597,-0.3339177966117859,-0.1572902500629425,0.022682934999465942,34.1937141418457,1,0.010969795286655426
