step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,wz,push_delta_vy,joint_rms_deviation,stance_geometry_ok,current_vertical_foot_contacts,current_base_contact,current_base_force_n,max_joint_offset_rad,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_vertical_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_vertical_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_vertical_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_vertical_contact,RR_foot_speed_xy,FL_knee_y_b,FR_knee_y_b,RL_knee_y_b,RR_knee_y_b,FL_hip_joint_offset_rad,FR_hip_joint_offset_rad,RL_hip_joint_offset_rad,RR_hip_joint_offset_rad,FL_thigh_joint_offset_rad,FR_thigh_joint_offset_rad,RL_thigh_joint_offset_rad,RR_thigh_joint_offset_rad,FL_calf_joint_offset_rad,FR_calf_joint_offset_rad,RL_calf_joint_offset_rad,RR_calf_joint_offset_rad
1,0.02,stand,0.0,0.0,0.0,0.39863431453704834,4.821270704269409e-05,-5.610835796687752e-05,0.0038517925422638655,0.07464560121297836,-0.007771517970698107,-0.010824730090322832,0,0,0,0.003781030187383294,-0.0007349258521571755,0.003754716832190752,-0.0007569740409962833,0.07464560121297836,0.0,0.07540147751569748,1,0,0,0.0,0.14641904830932617,0.1776994913816452,0.17045247554779053,0.07650692760944366,0.0,0,0,0.5974214673042297,0.17442727088928223,-0.17042052745819092,0.0838628038764,0.0,0,0,0.36002469062805176,-0.29089152812957764,0.16961121559143066,0.09423995018005371,0.0,0,0,1.1744807958602905,-0.29133978486061096,-0.1648460328578949,0.09291674196720123,0.0,0,0,1.3140041828155518,0.15549804270267487,-0.1553090363740921,0.15204015374183655,-0.1503128856420517,-0.013033002614974976,0.011148989200592041,-0.010772258043289185,0.026237666606903076,-0.07591557502746582,-0.038938045501708984,-0.010364055633544922,-0.006936073303222656,0.14641904830932617,0.09466552734375,0.12259912490844727,0.11941719055175781
2,0.04,stand,0.0,0.0,0.0,0.3938940167427063,-0.00015399977564811707,-9.911520464811474e-05,0.016490528360009193,0.09662594646215439,-0.289655756219385,0.13367099088410145,0,0,0,-0.016311492770910263,0.0024233730509877205,-0.015552897937595844,0.0008508096216246486,0.09662594646215439,0.0,0.1626659631729126,1,0,0,0.0,0.2942819595336914,0.19609013199806213,0.15986867249011993,0.054173581302165985,0.0,0,0,1.2938472032546997,0.168124720454216,-0.17031709849834442,0.051641352474689484,0.0,0,0,0.3086623549461365,-0.31572264432907104,0.15819481015205383,0.07246694713830948,0.0,0,0,1.2182271480560303,-0.3041819930076599,-0.14696359634399414,0.08204027265310287,0.0,0,0,1.0754406452178955,0.1509200483560562,-0.15528663992881775,0.14793197810649872,-0.1437707543373108,-0.047885823994874954,0.018085211515426636,-0.05026322603225708,0.08412184566259384,-0.1830275058746338,-0.12504911422729492,-0.03731822967529297,0.015527963638305664,0.2504844665527344,0.2942819595336914,0.2883110046386719,0.14853239059448242
3,0.06,stand,0.0,0.0,0.0,0.38507580757141113,-0.0004426203668117523,-0.00015920390433166176,0.014426483772695065,0.05904132127761841,-0.5827883988914239,0.485954405789773,0,0,0,-0.014424111694097519,-0.00026156785315833986,-0.009902742691338062,-0.0056131016463041306,0.05904132127761841,0.0,0.228084996342659,1,0,0,0.0,0.4258437156677246,0.22016455233097076,0.1516362428665161,0.036772385239601135,0.0,0,0,1.0325019359588623,0.1599350869655609,-0.163494274020195,0.024675890803337097,0.0,0,0,0.8472884297370911,-0.3265024423599243,0.1416810154914856,0.048263147473335266,0.0,0,0,0.8658252358436584,-0.30813995003700256,-0.13337327539920807,0.06854312866926193,0.0,0,0,0.5991204977035522,0.14705197513103485,-0.15206436812877655,0.14187757670879364,-0.138891339302063,-0.07242141664028168,0.04040714353322983,-0.10093584656715393,0.12724851071834564,-0.2769949436187744,-0.16779017448425293,-0.0907435417175293,0.012711286544799805,0.3016843795776367,0.4190659523010254,0.4258437156677246,0.1725311279296875
4,0.08,stand,0.0,0.0,0.0,0.3728830814361572,-0.000656353309750557,2.5621120585128665e-05,0.009084158577024937,0.02708720602095127,-0.09998547840327043,0.519670087162807,3,0,0,0.0001165565918199718,0.00908341072499752,0.005992816295474768,0.007962079718708992,0.02708720602095127,0.0,0.23870545625686646,1,3,0,0.0,0.5196669101715088,0.2257528454065323,0.15395218133926392,0.023222625255584717,42.743247985839844,1,1,0.05985335633158684,0.15940235555171967,-0.1608586460351944,0.02289740741252899,92.89765930175781,1,1,0.04331463947892189,-0.32609835267066956,0.13258828222751617,0.022030383348464966,141.1713409423828,1,1,0.873503565788269,-0.30277347564697266,-0.1272718459367752,0.05136587470769882,0.0,0,0,0.5208220481872559,0.14832216501235962,-0.1507582664489746,0.1382213681936264,-0.13650056719779968,-0.06581764668226242,0.04629836231470108,-0.12667255103588104,0.1457260251045227,-0.297072172164917,-0.12084001302719116,-0.14898234605789185,-0.01706719398498535,0.3105067014694214,0.33321821689605713,0.5196669101715088,0.19277548789978027
5,0.1,stand,0.0,0.0,0.0,0.361469566822052,-0.0011913515627384186,0.0002761124924290925,0.03715242072939873,0.044685497879981995,0.0588768109447851,-0.330554848928142,3,0,0,-0.03593806177377701,0.009421154856681824,-0.038776695728302,0.010150608606636524,0.044685497879981995,0.0,0.19145208597183228,1,3,0,0.0,0.3950948715209961,0.2203553169965744,0.1545886993408203,0.023286722600460052,101.4871826171875,1,1,0.046306855976581573,0.15405142307281494,-0.160121351480484,0.022964388132095337,113.68698120117188,1,1,0.03905932605266571,-0.33189237117767334,0.13472552597522736,0.02229355275630951,68.69385528564453,1,1,0.04231706261634827,-0.29339414834976196,-0.12899504601955414,0.031230270862579346,0.0,0,0,0.82927405834198,0.14862468838691711,-0.15025480091571808,0.13927537202835083,-0.13695845007896423,-0.06310650706291199,0.0470772348344326,-0.12164121121168137,0.13977570831775665,-0.2479931116104126,-0.06899046897888184,-0.05568277835845947,-0.05569267272949219,0.23916089534759521,0.26504385471343994,0.3950948715209961,0.2081000804901123
6,0.12,stand,0.0,0.0,0.0,0.35287970304489136,-0.0023364853113889694,0.00023577839601784945,0.06320632249116898,0.17083516716957092,0.05275836217084206,-1.4178760883168908,4,0,0,-0.0631541907787323,-0.0025666116271167994,-0.07163333892822266,-0.0017023467225953937,0.17083516716957092,0.0,0.1576613485813141,1,4,0,0.0,0.29636049270629883,0.21511876583099365,0.15397505462169647,0.02333413064479828,99.15190887451172,1,1,0.038906171917915344,0.1480608582496643,-0.16049599647521973,0.02299567312002182,108.90972900390625,1,1,0.04470906779170036,-0.3374166190624237,0.13552719354629517,0.02238154411315918,69.5782699584961,1,1,0.04535333812236786,-0.2971741855144501,-0.12835834920406342,0.022709444165229797,52.63669967651367,1,1,0.035165198147296906,0.14825093746185303,-0.15025605261325836,0.13975048065185547,-0.1368570625782013,-0.06443047523498535,0.04507659748196602,-0.12015219777822495,0.14247100055217743,-0.21410083770751953,-0.030698776245117188,0.024408459663391113,-0.02257251739501953,0.20003139972686768,0.22688019275665283,0.29636049270629883,0.17367756366729736
7,0.14,stand,0.0,0.0,0.0,0.34749549627304077,-0.0037449467927217484,0.00016264469013549387,0.07156740128993988,0.12863238155841827,0.11626740207464452,-1.877273437953185,4,0,0,-0.07156682014465332,0.00028897635638713837,-0.07839071750640869,0.0015419869450852275,0.12863238155841827,0.0,0.13708719611167908,1,4,0,0.0,0.2413729429244995,0.21400128304958344,0.15375952422618866,0.023369058966636658,80.07128143310547,1,1,0.03252347931265831,0.14614424109458923,-0.16048738360404968,0.023033462464809418,79.3081283569336,1,1,0.02237723581492901,-0.3385334014892578,0.13680922985076904,0.022439487278461456,62.530250549316406,1,1,0.027328014373779297,-0.2990402579307556,-0.12714260816574097,0.022758029401302338,69.1344223022461,1,1,0.01816076599061489,0.14813534915447235,-0.15017054975032806,0.14027397334575653,-0.1365826278924942,-0.06466769427061081,0.04444003850221634,-0.11657914519309998,0.1474161297082901,-0.19646698236465454,-0.009141802787780762,0.06432271003723145,0.016954898834228516,0.1699446439743042,0.19808506965637207,0.2413729429244995,0.12061619758605957
8,0.16,stand,0.0,0.0,0.0,0.3439410626888275,-0.005140397697687149,0.00015783749404363334,0.06895563006401062,0.07543975114822388,0.045387931050897085,-1.840125746604778,4,0,0,-0.06889060884714127,0.0029938584193587303,-0.07385707646608353,0.00404637586325407,0.07543975114822388,0.0,0.12506091594696045,1,4,0,0.0,0.2135072946548462,0.21559035778045654,0.15291713178157806,0.023385927081108093,63.432735443115234,1,1,0.03879407420754433,0.1472194939851761,-0.16115987300872803,0.02305348962545395,63.07036209106445,1,1,0.02401932328939438,-0.33687129616737366,0.13698838651180267,0.022471502423286438,45.302207946777344,1,1,0.011846931651234627,-0.2978461980819702,-0.12702493369579315,0.02279287576675415,50.326759338378906,1,1,0.030650867149233818,0.14772897958755493,-0.1504453420639038,0.1403573900461197,-0.13659770786762238,-0.06684021651744843,0.04177454486489296,-0.11616864800453186,0.1483411192893982,-0.18835240602493286,0.0031972527503967285,0.07768726348876953,0.0309218168258667,0.14277338981628418,0.17000281810760498,0.2135072946548462,0.0928490161895752
9,0.18,stand,0.0,0.0,0.0,0.34079378843307495,-0.006462084129452705,0.00024587588268332183,0.06576591730117798,0.03052380122244358,-0.13467152021601578,-1.7042318759913813,4,0,0,-0.06532749533653259,0.007581168320029974,-0.06988347321748734,0.008151032961905003,0.03052380122244358,0.0,0.11540532857179642,1,4,0,0.0,0.19172132015228271,0.21751822531223297,0.15160255134105682,0.023422211408615112,53.1416015625,1,1,0.02502615749835968,0.14891986548900604,-0.1623787134885788,0.02308213710784912,56.85340881347656,1,1,0.019221218302845955,-0.33485206961631775,0.13617917895317078,0.022496670484542847,33.993350982666016,1,1,0.012088723480701447,-0.29605409502983093,-0.1278764307498932,0.022807806730270386,37.463069915771484,1,1,0.019895847886800766,0.1470746397972107,-0.1509721875190735,0.14010615646839142,-0.1369355171918869,-0.07052978128194809,0.0373578742146492,-0.1189032644033432,0.14599955081939697,-0.18220633268356323,0.013542115688323975,0.08584439754486084,0.03937339782714844,0.1173011064529419,0.1420668363571167,0.19172132015228271,0.07067596912384033
10,0.2,stand,0.0,0.0,0.0,0.3374065160751343,-0.007739044725894928,0.0004494552267715335,0.06498542428016663,0.008203153498470783,-0.3789736864283922,-1.6191487431090612,4,0,0,-0.06356943398714066,0.013491922058165073,-0.06828761100769043,0.013269857503473759,0.008203153498470783,0.0,0.10682412981987,1,4,0,0.0,0.1750950813293457,0.2190212607383728,0.14996634423732758,0.02343600243330002,48.19044494628906,1,1,0.03273111954331398,0.15037700533866882,-0.16394445300102234,0.023108579218387604,56.86907958984375,1,1,0.019417332485318184,-0.3332453668117523,0.1347367763519287,0.022517219185829163,31.274383544921875,1,1,0.006284984759986401,-0.294524610042572,-0.1293293535709381,0.022828012704849243,33.534568786621094,1,1,0.012984737753868103,0.14623722434043884,-0.15164180099964142,0.1396620124578476,-0.1374988704919815,-0.07530048489570618,0.031713321805000305,-0.12378182262182236,0.141719251871109,-0.1750950813293457,0.024773359298706055,0.09699583053588867,0.05028390884399414,0.0922386646270752,0.11378538608551025,0.16754424571990967,0.04604017734527588
